Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
32,Male,Bachelor Degree,Software Engineer,5,90000,UK,White
28,Female,Master Degree,Data Analyst,3,65000,USA,Hispanic
45,Male,Phd,Senior Manager,15,150000,Canada,White
36,Female,Bachelor Degree,Sales Associate,7,60000,USA,Hispanic
52,Male,Master Degree,Director,20,200000,USA,Asian
29,Male,Bachelor Degree,Marketing Analyst,2,55000,USA,Hispanic
42,Female,Master Degree,Product Manager,12,120000,USA,Asian
31,Male,Bachelor Degree,Sales Manager,4,80000,China,Korean
26,Female,Bachelor Degree,Marketing Coordinator,1,45000,China,Chinese
38,Male,Phd,Senior Scientist,10,110000,Australia,Australian
29,Male,Master Degree,Software Developer,3,75000,UK,Welsh
48,Female,Bachelor Degree,HR Manager,18,140000,UK,Asian
35,Male,Bachelor Degree,Financial Analyst,6,65000,China,Korean
40,Female,Master Degree,Project Manager,14,130000,USA,African American
27,Male,Bachelor Degree,Customer Service Rep,2,40000,Canada,Asian
44,Male,Bachelor Degree,Operations Manager,16,125000,China,Chinese
33,Female,Master Degree,Marketing Manager,7,90000,USA,Asian
39,Male,Phd,Senior Engineer,12,115000,UK,Mixed
25,Female,Bachelor Degree,Data Entry Clerk,0,35000,UK,Asian
51,Male,Bachelor Degree,Sales Director,22,180000,Australia,Asian
34,Female,Master Degree,Business Analyst,5,80000,China,Korean
47,Male,Master Degree,VP of Operations,19,190000,UK,White
30,Male,Bachelor Degree,IT Support,2,50000,UK,Asian
36,Female,Bachelor Degree,Recruiter,9,60000,China,White
41,Male,Master Degree,Financial Manager,13,140000,USA,African American
28,Female,Bachelor Degree,Social Media Specialist,3,45000,Canada,White
37,Female,Master Degree,Software Manager,11,110000,Australia,Asian
24,Male,Bachelor Degree,Developer,1,40000,Australia,Asian
43,Female,Phd,Senior Consultant,15,140000,Canada,Black
33,Male,Master Degree,Product Designer,6,90000,China,Korean
50,Male,Bachelor Degree,CEO,25,250000,Canada,Asian
31,Female,Bachelor Degree,Accountant,4,55000,UK,White
29,Male,Master Degree,Data Scientist,3,75000,USA,Hispanic
39,Female,Bachelor Degree,Marketing Specialist,10,65000,Canada,White
46,Male,Phd,Senior Manager,20,170000,USA,Hispanic
27,Male,Bachelor Degree,Technical Writer,2,45000,Australia,Asian
35,Female,Bachelor Degree,HR Generalist,7,60000,UK,White
42,Male,Master Degree,Project Engineer,14,115000,China,White
26,Female,Bachelor Degree,Customer Success Rep,1,40000,Canada,Asian
49,Male,Bachelor Degree,Sales Executive,21,160000,China,White
34,Female,Master Degree,UX Designer,5,80000,UK,Asian
48,Male,Master Degree,Operations Director,18,190000,Canada,Black
30,Male,Bachelor Degree,Network Engineer,3,60000,China,Korean
36,Female,Bachelor Degree,Administrative Assistant,8,45000,UK,Asian
41,Male,Master Degree,Strategy Consultant,13,130000,UK,Asian
28,Female,Bachelor Degree,Copywriter,2,40000,USA,White
32,Male,Bachelor Degree,Account Manager,5,75000,Australia,Asian
45,Female,Master Degree,Director of Marketing,16,180000,UK,Welsh
38,Male,Phd,Senior Scientist,11,120000,Australia,Asian
25,Male,Bachelor Degree,Help Desk Analyst,0,35000,USA,Asian
51,Female,Bachelor Degree,Customer Service Manager,22,130000,China,Korean
33,Male,Master Degree,Business Intelligence Analyst,7,85000,Australia,Australian
40,Female,Bachelor Degree,Event Coordinator,12,60000,China,White
47,Male,Master Degree,VP of Finance,19,200000,Australia,Asian
29,Female,Bachelor Degree,Graphic Designer,3,50000,Canada,Black
36,Male,Bachelor Degree,Sales Manager,9,95000,China,Korean
27,Female,Master Degree,UX Researcher,2,65000,Canada,White
43,Male,Phd,Senior Engineer,17,140000,USA,Hispanic
30,Female,Bachelor Degree,Social Media Manager,4,55000,Canada,White
35,Male,Master Degree,Product Manager,7,105000,Canada,Asian
51,Female,Master Degree,Director of Operations,23,170000,USA,African American
29,Male,Bachelor Degree,Marketing Analyst,3,50000,China,Chinese
40,Female,Bachelor Degree,HR Manager,12,80000,China,Korean
47,Male,Phd,Senior Data Scientist,21,180000,China,White
26,Male,Bachelor Degree,Accountant,1,35000,Australia,Australian
38,Female,Master Degree,Digital Marketing Manager,10,90000,China,Korean
46,Male,Bachelor Degree,IT Manager,19,120000,Australia,Australian
31,Female,Bachelor Degree,Customer Service Representative,5,45000,Canada,Asian
34,Male,Master Degree,Business Development Manager,8,90000,Canada,Asian
49,Female,Master Degree,Senior Financial Analyst,18,150000,Canada,White
33,Male,Bachelor Degree,Web Developer,6,65000,USA,Hispanic
39,Female,Bachelor Degree,Recruiter,11,70000,USA,Asian
45,Male,Phd,Research Director,16,190000,UK,Mixed
28,Male,Bachelor Degree,Technical Support Specialist,2,40000,China,Korean
42,Female,Master Degree,Creative Director,14,120000,Canada,Black
37,Male,Bachelor Degree,Project Manager,10,95000,USA,Asian
50,Female,Bachelor Degree,Operations Manager,22,160000,USA,White
32,Male,Master Degree,Senior Software Engineer,6,100000,USA,African American
48,Female,Master Degree,Human Resources Director,20,180000,Canada,Black
30,Female,Bachelor Degree,Content Marketing Manager,3,55000,Australia,White
36,Male,Bachelor Degree,Technical Recruiter,8,70000,UK,Asian
41,Female,Master Degree,Data Analyst,13,80000,USA,White
25,Male,Bachelor Degree,Sales Representative,0,30000,Australia,Asian
52,Male,Phd,Chief Technology Officer,24,250000,Canada,Black
29,Female,Bachelor Degree,Designer,2,40000,Australia,Asian
34,Female,Master Degree,Financial Advisor,10,95000,UK,White
27,Male,Bachelor Degree,Account Manager,2,45000,Canada,White
40,Female,Bachelor Degree,HR Generalist,15,80000,USA,Hispanic
46,Male,Master Degree,Senior Project Manager,21,135000,Canada,Asian
31,Female,Bachelor Degree,Marketing Coordinator,6,55000,Australia,Asian
36,Male,Phd,Principal Scientist,11,120000,UK,Mixed
29,Female,Bachelor Degree,Sales Associate,3,40000,China,White
43,Male,Bachelor Degree,Supply Chain Manager,18,105000,UK,Welsh
52,Female,Master Degree,Senior Marketing Manager,25,170000,China,Chinese
33,Male,Bachelor Degree,Business Analyst,7,75000,Australia,Australian
39,Female,Bachelor Degree,Training Specialist,12,65000,USA,African American
